Token: ID, Lexema: k, Línea: 28, Columna: 17, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 28, Columna: 19, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 28, Columna: 21, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 29, Columna: 5, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 30, Columna: 1, Tabla: N/A
Token: VOID, Lexema: VOID, Línea: 32, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: MAIN, Lexema: MAIN, Línea: 32, Columna: 6, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 32, Columna: 11, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 32, Columna: 13, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 32, Columna: 15, Tabla: N/A
Token: ID, Lexema: testBasico, Línea: 33, Columna: 5, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 33, Columna: 16, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 33, Columna: 18, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 33, Columna: 20, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 34, Columna: 1, Tabla: N/A
