Token: ID, Lexema: y, Línea: 20, Columna: 8, Tabla: VARIABLES
Token: QUESTION, Lexema: null, Línea: 20, Columna: 9, Tabla: N/A
Token: ID, Lexema: x22, Línea: 21, Columna: 4, Tabla: VARIABLES
Token: ASSIGN, Lexema: null, Línea: 21, Columna: 7, Tabla: N/A
Token: INT_LITERAL, Lexema: 10, Línea: 21, Columna: 8, Tabla: N/A
Token: QUESTION, Lexema: null, Línea: 21, Columna: 10, Tabla: N/A
Token: CHAR, Lexema: null, Línea: 22, Columna: 4, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: ch33, Línea: 22, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: null, Línea: 22, Columna: 13, Tabla: N/A
Token: CHAR_LITERAL, Lexema: a, Línea: 22, Columna: 14, Tabla: N/A
Token: QUESTION, Lexema: null, Línea: 22, Columna: 17, Tabla: N/A
Token: RBLOCK, Lexema: null, Línea: 23, Columna: 4, Tabla: N/A
Token: ELSE, Lexema: null, Línea: 24, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: LBLOCK, Lexema: null, Línea: 24, Columna: 8, Tabla: N/A
Token: INT, Lexema: null, Línea: 25, Columna: 4, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: y, Línea: 25, Columna: 8, Tabla: VARIABLES
Token: QUESTION, Lexema: null, Línea: 25, Columna: 9, Tabla: N/A
Token: COMMENT_LINE, Lexema: null, Línea: 25, Columna: 10, Tabla: N/A
Token: STRING, Lexema: null, Línea: 26, Columna: 4, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: str2, Línea: 26, Columna: 11, Tabla: VARIABLES
Token: ASSIGN, Lexema: null, Línea: 26, Columna: 15, Tabla: N/A
Token: STRING_LITERAL, Lexema: sdff, Línea: 26, Columna: 16, Tabla: N/A
Token: QUESTION, Lexema: null, Línea: 26, Columna: 22, Tabla: N/A
Token: RBLOCK, Lexema: null, Línea: 27, Columna: 4, Tabla: N/A
Token: FOR, Lexema: null, Línea: 28, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: null, Línea: 28, Columna: 8, Tabla: N/A
Token: INT, Lexema: null, Línea: 28, Columna: 10, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: i, Línea: 28, Columna: 14, Tabla: VARIABLES
Token: ASSIGN, Lexema: null, Línea: 28, Columna: 15, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 28, Columna: 16, Tabla: N/A
Token: QUESTION, Lexema: null, Línea: 28, Columna: 17, Tabla: N/A
Token: ID, Lexema: i, Línea: 28, Columna: 18, Tabla: VARIABLES
Token: LT, Lexema: null, Línea: 28, Columna: 19, Tabla: N/A
Token: INT_LITERAL, Lexema: 4, Línea: 28, Columna: 20, Tabla: N/A
Token: PLUS, Lexema: null, Línea: 28, Columna: 21, Tabla: N/A
Token: ID, Lexema: j, Línea: 28, Columna: 22, Tabla: VARIABLES
Token: QUESTION, Lexema: null, Línea: 28, Columna: 23, Tabla: N/A
Token: INCREMENT, Lexema: null, Línea: 28, Columna: 24, Tabla: N/A
Token: ID, Lexema: i, Línea: 28, Columna: 26, Tabla: VARIABLES
Token: RPAREN, Lexema: null, Línea: 28, Columna: 28, Tabla: N/A
Token: LBLOCK, Lexema: null, Línea: 29, Columna: 3, Tabla: N/A
Token: WRITE, Lexema: null, Línea: 29, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: null, Línea: 29, Columna: 11, Tabla: N/A
Token: ID, Lexema: i, Línea: 29, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: null, Línea: 29, Columna: 15, Tabla: N/A
Token: QUESTION, Lexema: null, Línea: 29, Columna: 17, Tabla: N/A
Token: RBLOCK, Lexema: null, Línea: 29, Columna: 19, Tabla: N/A
Token: COMMENT_LINE, Lexema: null, Línea: 29, Columna: 22, Tabla: N/A
Token: WRITE, Lexema: null, Línea: 30, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: null, Línea: 30, Columna: 9, Tabla: N/A
Token: STRING_LITERAL, Lexema: Hola mundo, Línea: 30, Columna: 11, Tabla: N/A
Token: RPAREN, Lexema: null, Línea: 30, Columna: 24, Tabla: N/A
Token: QUESTION, Lexema: null, Línea: 30, Columna: 26, Tabla: N/A
Token: READ, Lexema: null, Línea: 31, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: null, Línea: 31, Columna: 8, Tabla: N/A
Token: ID, Lexema: x22, Línea: 31, Columna: 10, Tabla: VARIABLES
Token: RPAREN, Lexema: null, Línea: 31, Columna: 14, Tabla: N/A
Token: QUESTION, Lexema: null, Línea: 31, Columna: 16, Tabla: N/A
Token: RETURN, Lexema: null, Línea: 32, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: MINUS, Lexema: null, Línea: 32, Columna: 10, Tabla: N/A
Token: FLOAT_LITERAL, Lexema: 5.6, Línea: 32, Columna: 11, Tabla: N/A
Token: QUESTION, Lexema: null, Línea: 32, Columna: 14, Tabla: N/A
Token: COMMENT_LINE, Lexema: null, Línea: 32, Columna: 15, Tabla: N/A
Token: RBLOCK, Lexema: null, Línea: 33, Columna: 3, Tabla: N/A
Token: BOOL, Lexema: null, Línea: 34, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: func3, Línea: 34, Columna: 7, Tabla: VARIABLES
Token: LPAREN, Lexema: null, Línea: 34, Columna: 14, Tabla: N/A
Token: RPAREN, Lexema: null, Línea: 34, Columna: 17, Tabla: N/A
Token: LBLOCK, Lexema: null, Línea: 34, Columna: 21, Tabla: N/A
Token: STRING, Lexema: null, Línea: 35, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: b1, Línea: 35, Columna: 10, Tabla: VARIABLES
Token: QUESTION, Lexema: null, Línea: 35, Columna: 12, Tabla: N/A
Token: RETURN, Lexema: null, Línea: 36, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: b1, Línea: 36, Columna: 10, Tabla: VARIABLES
Token: QUESTION, Lexema: null, Línea: 36, Columna: 12, Tabla: N/A
Token: RBLOCK, Lexema: null, Línea: 37, Columna: 4, Tabla: N/A
Token: BOOL, Lexema: null, Línea: 39, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: func2, Línea: 39, Columna: 8, Tabla: VARIABLES
Token: LPAREN, Lexema: null, Línea: 39, Columna: 15, Tabla: N/A
Token: BOOL, Lexema: null, Línea: 39, Columna: 17, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: b1, Línea: 39, Columna: 22, Tabla: VARIABLES
Token: COMMA, Lexema: null, Línea: 39, Columna: 24, Tabla: N/A
Token: INT, Lexema: null, Línea: 39, Columna: 26, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: i1, Línea: 39, Columna: 30, Tabla: VARIABLES
Token: RPAREN, Lexema: null, Línea: 39, Columna: 33, Tabla: N/A
Token: LBLOCK, Lexema: null, Línea: 39, Columna: 37, Tabla: N/A
Token: INT, Lexema: null, Línea: 40, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: z, Línea: 40, Columna: 7, Tabla: VARIABLES
Token: QUESTION, Lexema: null, Línea: 40, Columna: 8, Tabla: N/A
Token: COMMENT_LINE, Lexema: null, Línea: 40, Columna: 10, Tabla: N/A
Token: RETURN, Lexema: null, Línea: 41, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: QUESTION, Lexema: null, Línea: 41, Columna: 9, Tabla: N/A
Token: COMMENT_LINE, Lexema: null, Línea: 41, Columna: 11, Tabla: N/A
Token: RBLOCK, Lexema: null, Línea: 42, Columna: 4, Tabla: N/A
Token: VOID, Lexema: null, Línea: 44, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: MAIN, Lexema: null, Línea: 44, Columna: 8, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: null, Línea: 44, Columna: 13, Tabla: N/A
Token: RPAREN, Lexema: null, Línea: 44, Columna: 16, Tabla: N/A
Token: LBLOCK, Lexema: null, Línea: 44, Columna: 19, Tabla: N/A
Token: LCOMMENT_BLOCK, Lexema: null, Línea: 45, Columna: 2, Tabla: N/A
Token: RCOMMENT_BLOCK, Lexema: null, Línea: 46, Columna: 2, Tabla: N/A
Token: CHAR, Lexema: null, Línea: 47, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: miChar, Línea: 47, Columna: 8, Tabla: VARIABLES
Token: ASSIGN, Lexema: null, Línea: 47, Columna: 14, Tabla: N/A
Token: CHAR_LITERAL, Lexema: !, Línea: 47, Columna: 15, Tabla: N/A
Token: QUESTION, Lexema: null, Línea: 47, Columna: 18, Tabla: N/A
Token: CHAR, Lexema: null, Línea: 48, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: miChar2, Línea: 48, Columna: 8, Tabla: VARIABLES
Token: ASSIGN, Lexema: null, Línea: 48, Columna: 15, Tabla: N/A
Token: CHAR_LITERAL, Lexema: !, Línea: 48, Columna: 16, Tabla: N/A
Token: QUESTION, Lexema: null, Línea: 48, Columna: 19, Tabla: N/A
Token: COMMENT_LINE, Lexema: null, Línea: 48, Columna: 21, Tabla: N/A
Token: STRING, Lexema: null, Línea: 49, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: str1, Línea: 49, Columna: 10, Tabla: VARIABLES
Token: ASSIGN, Lexema: null, Línea: 49, Columna: 14, Tabla: N/A
Token: STRING_LITERAL, Lexema: Mi string 1, Línea: 49, Columna: 15, Tabla: N/A
Token: QUESTION, Lexema: null, Línea: 49, Columna: 28, Tabla: N/A
Token: FLOAT, Lexema: null, Línea: 50, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: fl1, Línea: 50, Columna: 9, Tabla: VARIABLES
Token: QUESTION, Lexema: null, Línea: 50, Columna: 12, Tabla: N/A
Token: FLOAT, Lexema: null, Línea: 51, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: fl1, Línea: 51, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: null, Línea: 51, Columna: 12, Tabla: N/A
Token: FLOAT_LITERAL, Lexema: 56.6, Línea: 51, Columna: 13, Tabla: N/A
Token: QUESTION, Lexema: null, Línea: 51, Columna: 17, Tabla: N/A
Token: COMMENT_LINE, Lexema: null, Línea: 51, Columna: 19, Tabla: N/A
Token: INT, Lexema: null, Línea: 52, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: in1, Línea: 52, Columna: 7, Tabla: VARIABLES
Token: ASSIGN, Lexema: null, Línea: 52, Columna: 10, Tabla: N/A
Token: DECREMENT, Lexema: null, Línea: 52, Columna: 11, Tabla: N/A
Token: ID, Lexema: fl1, Línea: 52, Columna: 13, Tabla: VARIABLES
Token: MINUS, Lexema: null, Línea: 52, Columna: 16, Tabla: N/A
Token: MINUS, Lexema: null, Línea: 52, Columna: 18, Tabla: N/A
Token: INT_LITERAL, Lexema: 14, Línea: 52, Columna: 19, Tabla: N/A
Token: PLUS, Lexema: null, Línea: 52, Columna: 21, Tabla: N/A
Token: INCREMENT, Lexema: null, Línea: 52, Columna: 23, Tabla: N/A
Token: ID, Lexema: in1, Línea: 52, Columna: 25, Tabla: VARIABLES
Token: MOD, Lexema: null, Línea: 52, Columna: 28, Tabla: N/A
Token: INT_LITERAL, Lexema: 7, Línea: 52, Columna: 29, Tabla: N/A
Token: DIVIDE, Lexema: null, Línea: 52, Columna: 30, Tabla: N/A
Token: INT_LITERAL, Lexema: 15, Línea: 52, Columna: 32, Tabla: N/A
Token: QUESTION, Lexema: null, Línea: 52, Columna: 34, Tabla: N/A
Token: COMMENT_LINE, Lexema: null, Línea: 52, Columna: 36, Tabla: N/A
Token: FLOAT, Lexema: null, Línea: 53, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: fl2, Línea: 53, Columna: 9, Tabla: VARIABLES
