Token: LPAREN, Lexema: LPAREN, Línea: 41, Columna: 11, Tabla: N/A
Token: ID, Lexema: mensaje, Línea: 41, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 41, Columna: 21, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 41, Columna: 23, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 43, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 43, Columna: 11, Tabla: N/A
Token: STRING_LITERAL, Lexema: Saludo:, Línea: 43, Columna: 13, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 43, Columna: 23, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 43, Columna: 25, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 44, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 44, Columna: 11, Tabla: N/A
Token: ID, Lexema: saludo, Línea: 44, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 44, Columna: 20, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 44, Columna: 22, Tabla: N/A
Token: DIVIDE, Lexema: DIVIDE, Línea: 46, Columna: 5, Tabla: N/A
Token: ID, Lexema: Imprimir, Línea: 46, Columna: 8, Tabla: VARIABLES
Token: ID, Lexema: chars, Línea: 46, Columna: 17, Tabla: VARIABLES
Token: WRITE, Lexema: WRITE, Línea: 47, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 47, Columna: 11, Tabla: N/A
Token: STRING_LITERAL, Lexema: Letra:, Línea: 47, Columna: 13, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 47, Columna: 22, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 47, Columna: 24, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 48, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 48, Columna: 11, Tabla: N/A
Token: ID, Lexema: letra, Línea: 48, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 48, Columna: 19, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 48, Columna: 21, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 50, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 50, Columna: 11, Tabla: N/A
Token: STRING_LITERAL, Lexema: Numero:, Línea: 50, Columna: 13, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 50, Columna: 23, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 50, Columna: 25, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 51, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 51, Columna: 11, Tabla: N/A
Token: ID, Lexema: numero, Línea: 51, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 51, Columna: 20, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 51, Columna: 22, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 53, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 53, Columna: 11, Tabla: N/A
Token: STRING_LITERAL, Lexema: Simbolo:, Línea: 53, Columna: 13, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 53, Columna: 24, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 53, Columna: 26, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 54, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 54, Columna: 11, Tabla: N/A
Token: ID, Lexema: simbolo, Línea: 54, Columna: 13, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 54, Columna: 21, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 54, Columna: 23, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 55, Columna: 1, Tabla: N/A
Token: VOID, Lexema: VOID, Línea: 57, Columna: 1, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: testMixed, Línea: 57, Columna: 6, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 57, Columna: 16, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 57, Columna: 18, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 57, Columna: 20, Tabla: N/A
Token: DIVIDE, Lexema: DIVIDE, Línea: 58, Columna: 5, Tabla: N/A
Token: ID, Lexema: Array, Línea: 58, Columna: 8, Tabla: VARIABLES
Token: ID, Lexema: de, Línea: 58, Columna: 14, Tabla: VARIABLES
Token: ID, Lexema: diferentes, Línea: 58, Columna: 17, Tabla: VARIABLES
Token: ID, Lexema: tipos, Línea: 58, Columna: 28, Tabla: VARIABLES
Token: INT, Lexema: INT, Línea: 59, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: valores, Línea: 59, Columna: 9, Tabla: VARIABLES
Token: LBRACKET, Lexema: LBRACKET, Línea: 59, Columna: 16, Tabla: N/A
Token: INT_LITERAL, Lexema: 2, Línea: 59, Columna: 17, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 59, Columna: 18, Tabla: N/A
Token: ASSIGN, Lexema: ASSIGN, Línea: 59, Columna: 20, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 59, Columna: 22, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 59, Columna: 23, Tabla: N/A
Token: ID, Lexema: valores, Línea: 60, Columna: 5, Tabla: VARIABLES
Token: LBRACKET, Lexema: LBRACKET, Línea: 60, Columna: 12, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 60, Columna: 13, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 60, Columna: 14, Tabla: N/A
Token: ASSIGN, Lexema: ASSIGN, Línea: 60, Columna: 16, Tabla: N/A
Token: INT_LITERAL, Lexema: 100, Línea: 60, Columna: 18, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 60, Columna: 21, Tabla: N/A
Token: ID, Lexema: valores, Línea: 61, Columna: 5, Tabla: VARIABLES
Token: LBRACKET, Lexema: LBRACKET, Línea: 61, Columna: 12, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 61, Columna: 13, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 61, Columna: 14, Tabla: N/A
Token: ASSIGN, Lexema: ASSIGN, Línea: 61, Columna: 16, Tabla: N/A
Token: INT_LITERAL, Lexema: 200, Línea: 61, Columna: 18, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 61, Columna: 21, Tabla: N/A
Token: DIVIDE, Lexema: DIVIDE, Línea: 63, Columna: 5, Tabla: N/A
Token: ID, Lexema: String, Línea: 63, Columna: 8, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: con, Línea: 63, Columna: 15, Tabla: VARIABLES
Token: ID, Lexema: caracteres, Línea: 63, Columna: 19, Tabla: VARIABLES
Token: ID, Lexema: especiales, Línea: 63, Columna: 30, Tabla: VARIABLES
Token: STRING, Lexema: STRING, Línea: 64, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: especial, Línea: 64, Columna: 12, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 64, Columna: 21, Tabla: N/A
Token: STRING_LITERAL, Lexema: Test_123_!@#, Línea: 64, Columna: 23, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 64, Columna: 38, Tabla: N/A
Token: DIVIDE, Lexema: DIVIDE, Línea: 66, Columna: 5, Tabla: N/A
Token: ID, Lexema: Char, Línea: 66, Columna: 8, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: con, Línea: 66, Columna: 13, Tabla: VARIABLES
Token: ID, Lexema: ASCII, Línea: 66, Columna: 17, Tabla: VARIABLES
Token: CHAR, Lexema: CHAR, Línea: 67, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: espacio, Línea: 67, Columna: 10, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 67, Columna: 18, Tabla: N/A
Token: CHAR_LITERAL, Lexema:  , Línea: 67, Columna: 20, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 67, Columna: 24, Tabla: N/A
Token: CHAR, Lexema: CHAR, Línea: 68, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: punto, Línea: 68, Columna: 10, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 68, Columna: 16, Tabla: N/A
Token: CHAR_LITERAL, Lexema: ., Línea: 68, Columna: 18, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 68, Columna: 22, Tabla: N/A
Token: DIVIDE, Lexema: DIVIDE, Línea: 70, Columna: 5, Tabla: N/A
Token: ID, Lexema: Operaciones, Línea: 70, Columna: 8, Tabla: VARIABLES
Token: ID, Lexema: simples, Línea: 70, Columna: 20, Tabla: VARIABLES
Token: INT, Lexema: INT, Línea: 71, Columna: 5, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: suma, Línea: 71, Columna: 9, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 71, Columna: 14, Tabla: N/A
Token: ID, Lexema: valores, Línea: 71, Columna: 16, Tabla: VARIABLES
Token: LBRACKET, Lexema: LBRACKET, Línea: 71, Columna: 23, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 71, Columna: 24, Tabla: N/A
Token: RBRACKET, Lexema: RBRACKET, Línea: 71, Columna: 25, Tabla: N/A
Token: PLUS, Lexema: PLUS, Línea: 71, Columna: 27, Tabla: N/A
Token: ID, Lexema: valores, Línea: 71, Columna: 29, Tabla: VARIABLES
