Token: LBLOCK, Lexema: LBLOCK, Línea: 18, Columna: 20, Tabla: N/A
Token: ID, Lexema: x30, Línea: 19, Columna: 3, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 19, Columna: 6, Tabla: N/A
Token: INT_LITERAL, Lexema: 10, Línea: 19, Columna: 7, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 19, Columna: 9, Tabla: N/A
Token: ID, Lexema: ch33, Línea: 20, Columna: 3, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 20, Columna: 7, Tabla: N/A
Token: CHAR_LITERAL, Lexema: a, Línea: 20, Columna: 8, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 20, Columna: 11, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 21, Columna: 3, Tabla: N/A
Token: ELSE, Lexema: ELSE, Línea: 22, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: LBLOCK, Lexema: LBLOCK, Línea: 22, Columna: 7, Tabla: N/A
Token: STRING, Lexema: STRING, Línea: 23, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: str2, Línea: 23, Columna: 10, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 23, Columna: 14, Tabla: N/A
Token: STRING_LITERAL, Lexema: sdff, Línea: 23, Columna: 15, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 23, Columna: 21, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 24, Columna: 3, Tabla: N/A
Token: FOR, Lexema: FOR, Línea: 25, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 25, Columna: 7, Tabla: N/A
Token: INT, Lexema: INT, Línea: 25, Columna: 9, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: i, Línea: 25, Columna: 13, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 25, Columna: 14, Tabla: N/A
Token: INT_LITERAL, Lexema: 0, Línea: 25, Columna: 15, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 25, Columna: 16, Tabla: N/A
Token: ID, Lexema: i, Línea: 25, Columna: 17, Tabla: VARIABLES
Token: LT, Lexema: LT, Línea: 25, Columna: 18, Tabla: N/A
Token: INT_LITERAL, Lexema: 4, Línea: 25, Columna: 19, Tabla: N/A
Token: PLUS, Lexema: PLUS, Línea: 25, Columna: 20, Tabla: N/A
Token: ID, Lexema: i, Línea: 25, Columna: 21, Tabla: VARIABLES
Token: QUESTION, Lexema: QUESTION, Línea: 25, Columna: 22, Tabla: N/A
Token: INCREMENT, Lexema: INCREMENT, Línea: 25, Columna: 23, Tabla: N/A
Token: ID, Lexema: i, Línea: 25, Columna: 25, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 25, Columna: 27, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 26, Columna: 2, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 26, Columna: 4, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 26, Columna: 10, Tabla: N/A
Token: ID, Lexema: i, Línea: 26, Columna: 12, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 26, Columna: 14, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 26, Columna: 16, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 26, Columna: 18, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 27, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 27, Columna: 8, Tabla: N/A
Token: ID, Lexema: miChar, Línea: 27, Columna: 10, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 27, Columna: 17, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 27, Columna: 19, Tabla: N/A
Token: read, Lexema: read, Línea: 28, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 28, Columna: 7, Tabla: N/A
Token: ID, Lexema: x40, Línea: 28, Columna: 9, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 28, Columna: 13, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 28, Columna: 15, Tabla: N/A
