Token: ELSE, Lexema: ELSE, Línea: 14, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: LBLOCK, Lexema: LBLOCK, Línea: 14, Columna: 8, Tabla: N/A
Token: WRITE, Lexema: WRITE, Línea: 15, Columna: 4, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 15, Columna: 10, Tabla: N/A
Token: ID, Lexema: var2, Línea: 15, Columna: 12, Tabla: VARIABLES
Token: RPAREN, Lexema: RPAREN, Línea: 15, Columna: 17, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 15, Columna: 19, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 17, Columna: 4, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 18, Columna: 3, Tabla: N/A
Token: RETURN, Lexema: RETURN, Línea: 19, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: FLOAT_LITERAL, Lexema: 1.0, Línea: 19, Columna: 9, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 19, Columna: 12, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 20, Columna: 3, Tabla: N/A
Token: BOOL, Lexema: BOOL, Línea: 22, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: miOtraFun, Línea: 22, Columna: 7, Tabla: VARIABLES
Token: LPAREN, Lexema: LPAREN, Línea: 22, Columna: 18, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 22, Columna: 21, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 22, Columna: 25, Tabla: N/A
Token: RETURN, Lexema: RETURN, Línea: 23, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: TRUE, Lexema: true, Línea: 23, Columna: 9, Tabla: PALABRAS_RESERVADAS
Token: QUESTION, Lexema: QUESTION, Línea: 23, Columna: 13, Tabla: N/A
Token: RBLOCK, Lexema: RBLOCK, Línea: 24, Columna: 3, Tabla: N/A
Token: VOID, Lexema: VOID, Línea: 27, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: MAIN, Lexema: MAIN, Línea: 27, Columna: 7, Tabla: PALABRAS_RESERVADAS
Token: LPAREN, Lexema: LPAREN, Línea: 27, Columna: 12, Tabla: N/A
Token: RPAREN, Lexema: RPAREN, Línea: 27, Columna: 15, Tabla: N/A
Token: LBLOCK, Lexema: LBLOCK, Línea: 27, Columna: 18, Tabla: N/A
Token: INT, Lexema: INT, Línea: 28, Columna: 3, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: i, Línea: 28, Columna: 7, Tabla: VARIABLES
Token: ASSIGN, Lexema: ASSIGN, Línea: 28, Columna: 8, Tabla: N/A
Token: INT_LITERAL, Lexema: 1, Línea: 28, Columna: 9, Tabla: N/A
Token: QUESTION, Lexema: QUESTION, Línea: 28, Columna: 10, Tabla: N/A
Token: INT, Lexema: INT, Línea: 29, Columna: 2, Tabla: PALABRAS_RESERVADAS
Token: ID, Lexema: arr, Línea: 29, Columna: 6, Tabla: VARIABLES
Token: LBRACKET, Lexema: LBRACKET, Línea: 29, Columna: 9, Tabla: N/A
Token: INT_LITERAL, Lexema: 67, Línea: 29, Columna: 10, Tabla: N/A
Token: PLUS, Lexema: PLUS, Línea: 29, Columna: 12, Tabla: N/A
Token: ID, Lexema: i, Línea: 29, Columna: 13, Tabla: VARIABLES
